排名,学校名称,省市,类型,总分,学校性质
1,清华大学,北京,综合,1076.1,双一流/985/211
2,北京大学,北京,综合,1027.7,双一流/985/211
3,浙江大学,浙江,综合,868.9,双一流/985/211
4,上海交通大学,上海,综合,851.7,双一流/985/211
5,复旦大学,上海,综合,788.4,双一流/985/211
6,南京大学,江苏,综合,707.8,双一流/985/211
7,中国科学技术大学,安徽,理工,637.0,双一流/985/211
8,武汉大学,湖北,综合,629.2,双一流/985/211
9,华中科技大学,湖北,综合,628.9,双一流/985/211
10,西安交通大学,陕西,综合,598.5,双一流/985/211
11,北京航空航天大学,北京,理工,585.4,双一流/985/211
12,中山大学,广东,综合,585.2,双一流/985/211
13,北京理工大学,北京,理工,582.4,双一流/985/211
医1,北京协和医学院,北京,医药,,双一流
14,哈尔滨工业大学,黑龙江,理工,576.4,双一流/985/211
15,四川大学,四川,综合,576.3,双一流/985/211
16,东南大学,江苏,综合,575.0,双一流/985/211
17,中国人民大学,北京,综合,558.0,双一流/985/211
18,同济大学,上海,综合,547.7,双一流/985/211
19,北京师范大学,北京,师范,543.8,双一流/985/211
20,天津大学,天津,理工,528.5,双一流/985/211
21,西北工业大学,陕西,理工,513.7,双一流/985/211
22,山东大学,山东,综合,513.4,双一流/985/211
23,南开大学,天津,综合,512.2,双一流/985/211
24,厦门大学,福建,综合,504.8,双一流/985/211
25,中国农业大学,北京,农业,499.2,双一流/985/211
26,吉林大学,吉林,综合,486.0,双一流/985/211
27,中南大学,湖南,综合,485.3,双一流/985/211
28,大连理工大学,辽宁,理工,469.5,双一流/985/211
29,湖南大学,湖南,综合,466.4,双一流/985/211
30,华东师范大学,上海,师范,460.1,双一流/985/211
31,华南理工大学,广东,理工,458.7,双一流/985/211
32,南方科技大学,广东,综合,457.1,双一流
33,电子科技大学,四川,理工,442.8,双一流/985/211
34,重庆大学,重庆,综合,425.7,双一流/985/211
35,北京科技大学,北京,理工,418.9,双一流/211
财1,上海财经大学,上海,财经,,双一流/211
医2,首都医科大学,北京,医药,,
36,南京航空航天大学,江苏,理工,405.0,双一流/211
37,东北大学,辽宁,理工,404.5,双一流/985/211
38,南京理工大学,江苏,理工,401.5,双一流/211
